customer_id,month_idx,month,logins,feature_usage_score,support_tickets,payment_failed
CUST-1001,0,2024-06,1,9,0,0
CUST-1002,0,2024-06,8,29,0,0
CUST-1002,1,2024-07,6,70,0,0
CUST-1002,2,2024-08,9,85,0,0
CUST-1002,3,2024-08,11,69,0,0
CUST-1002,4,2024-10,5,58,1,1
CUST-1002,5,2024-10,17,58,0,0
CUST-1002,6,2024-12,3,66,0,0
CUST-1002,7,2024-12,14,67,0,0
CUST-1002,8,2025-01,3,40,1,0
CUST-1002,9,2025-03,6,92,0,0
CUST-1002,10,2025-04,13,75,0,0
CUST-1002,11,2025-05,8,45,0,0
CUST-1002,12,2025-06,14,95,0,0
CUST-1002,13,2025-07,2,61,0,0
CUST-1002,14,2025-08,5,63,0,0
CUST-1002,15,2025-09,3,98,1,0
CUST-1002,16,2025-10,10,27,2,0
CUST-1002,17,2025-11,7,69,1,0
CUST-1002,18,2025-12,4,35,0,0
CUST-1002,19,2026-01,13,68,0,0
CUST-1002,20,2026-02,11,67,1,0
CUST-1002,21,2026-03,11,35,0,0
CUST-1002,22,2026-04,6,39,0,0
CUST-1002,23,2026-05,3,100,0,0
CUST-1003,0,2024-06,4,100,0,0
CUST-1003,1,2024-07,10,81,0,0
CUST-1003,2,2024-08,12,71,0,0
CUST-1003,3,2024-08,15,38,1,0
CUST-1003,4,2024-10,3,65,2,0
CUST-1003,5,2024-10,3,93,0,0
CUST-1003,6,2024-12,8,100,0,0
CUST-1003,7,2024-12,12,84,1,0
CUST-1003,8,2025-01,13,100,0,0
CUST-1003,9,2025-03,10,66,1,0
CUST-1003,10,2025-04,14,71,0,0
CUST-1003,11,2025-05,9,91,0,0
CUST-1003,12,2025-06,8,47,0,0
CUST-1003,13,2025-07,7,92,1,0
CUST-1003,14,2025-08,7,40,0,1
CUST-1003,15,2025-09,4,48,2,0
CUST-1003,16,2025-10,7,67,0,0
CUST-1003,17,2025-11,7,44,2,0
CUST-1003,18,2025-12,7,78,1,0
CUST-1003,19,2026-01,12,58,0,0
CUST-1003,20,2026-02,5,97,0,0
CUST-1003,21,2026-03,8,54,0,0
CUST-1003,22,2026-04,14,76,1,0
CUST-1003,23,2026-05,8,88,0,0
CUST-1004,0,2024-06,23,100,0,0
CUST-1004,1,2024-07,9,90,0,0
CUST-1004,2,2024-08,10,94,0,0
CUST-1004,3,2024-08,9,41,0,1
CUST-1004,4,2024-10,13,49,0,1
CUST-1004,5,2024-10,15,68,0,0
CUST-1004,6,2024-12,11,51,0,0
CUST-1004,7,2024-12,14,53,0,0
CUST-1004,8,2025-01,21,77,2,0
CUST-1004,9,2025-03,10,80,0,0
CUST-1004,10,2025-04,13,62,1,0
CUST-1004,11,2025-05,15,67,0,0
CUST-1004,12,2025-06,9,46,0,1
CUST-1004,13,2025-07,20,78,0,0
CUST-1004,14,2025-08,23,100,1,0
CUST-1004,15,2025-09,16,55,0,0
CUST-1004,16,2025-10,17,100,0,0
CUST-1004,17,2025-11,20,57,2,0
CUST-1004,18,2025-12,10,91,1,0
CUST-1004,19,2026-01,10,49,0,0
CUST-1004,20,2026-02,18,80,0,0
CUST-1004,21,2026-03,15,37,0,0
CUST-1004,22,2026-04,9,92,2,0
CUST-1004,23,2026-05,17,68,1,0
CUST-1005,0,2024-06,2,9,0,0
CUST-1006,0,2024-06,7,76,0,0
CUST-1006,1,2024-07,15,37,0,0
CUST-1006,2,2024-08,13,29,2,0
CUST-1006,3,2024-08,4,45,0,0
CUST-1006,4,2024-10,12,42,0,0
CUST-1006,5,2024-10,13,71,0,0
CUST-1006,6,2024-12,14,62,1,0
CUST-1006,7,2024-12,9,86,1,0
CUST-1006,8,2025-01,2,46,1,0
CUST-1006,9,2025-03,11,67,1,0
CUST-1006,10,2025-04,8,69,0,0
CUST-1006,11,2025-05,7,86,1,0
CUST-1006,12,2025-06,9,54,1,0
CUST-1006,13,2025-07,10,29,1,0
CUST-1006,14,2025-08,8,95,0,0
CUST-1006,15,2025-09,4,60,0,0
CUST-1006,16,2025-10,10,69,0,1
CUST-1006,17,2025-11,7,46,0,0
CUST-1006,18,2025-12,6,63,0,0
CUST-1006,19,2026-01,9,46,0,0
CUST-1006,20,2026-02,11,88,2,0
CUST-1006,21,2026-03,11,33,0,0
CUST-1006,22,2026-04,4,39,0,0
CUST-1006,23,2026-05,4,78,3,0
CUST-1007,0,2024-06,10,31,0,0
CUST-1007,1,2024-07,2,9,0,0
CUST-1008,0,2024-06,16,41,0,0
CUST-1008,1,2024-07,13,56,0,0
CUST-1008,2,2024-08,7,54,1,0
CUST-1008,3,2024-08,8,68,0,0
CUST-1008,4,2024-10,10,76,0,0
CUST-1008,5,2024-10,6,30,2,0
CUST-1008,6,2024-12,2,87,1,0
CUST-1008,7,2024-12,12,93,1,0
CUST-1008,8,2025-01,18,98,0,0
CUST-1008,9,2025-03,13,60,0,0
CUST-1008,10,2025-04,9,86,1,0
CUST-1008,11,2025-05,15,39,0,0
CUST-1008,12,2025-06,10,31,1,0
CUST-1008,13,2025-07,5,88,0,0
CUST-1008,14,2025-08,10,49,2,0
CUST-1008,15,2025-09,7,87,0,0
CUST-1008,16,2025-10,13,37,0,0
CUST-1008,17,2025-11,17,67,0,0
CUST-1008,18,2025-12,13,91,0,0
CUST-1008,19,2026-01,8,63,2,0
CUST-1008,20,2026-02,3,83,0,0
CUST-1008,21,2026-03,4,86,0,0
CUST-1008,22,2026-04,3,26,0,0
CUST-1009,0,2024-06,13,70,0,0
CUST-1009,1,2024-07,6,84,0,0
CUST-1009,2,2024-08,12,54,0,0
CUST-1009,3,2024-08,15,46,1,0
CUST-1009,4,2024-10,15,86,0,0
CUST-1009,5,2024-10,13,84,0,0
CUST-1009,6,2024-12,4,93,0,0
CUST-1009,7,2024-12,8,82,0,0
CUST-1009,8,2025-01,8,67,0,0
CUST-1009,9,2025-03,5,73,0,0
CUST-1009,10,2025-04,14,38,0,0
CUST-1009,11,2025-05,6,71,1,0
CUST-1009,12,2025-06,17,48,1,0
CUST-1009,13,2025-07,5,72,1,0
CUST-1009,14,2025-08,16,81,0,0
CUST-1009,15,2025-09,6,61,2,0
CUST-1009,16,2025-10,4,77,0,0
CUST-1009,17,2025-11,16,46,0,0
CUST-1009,18,2025-12,10,69,0,0
CUST-1009,19,2026-01,10,39,0,0
CUST-1009,20,2026-02,12,31,0,0
CUST-1009,21,2026-03,11,89,0,0
CUST-1009,22,2026-04,11,85,0,0
CUST-1009,23,2026-05,6,76,0,0
CUST-1010,0,2024-06,14,35,0,0
CUST-1010,1,2024-07,30,53,0,0
CUST-1010,2,2024-08,30,32,0,0
CUST-1010,3,2024-08,21,34,0,0
CUST-1010,4,2024-10,23,33,0,0
CUST-1010,5,2024-10,15,89,0,0
CUST-1010,6,2024-12,28,62,0,0
CUST-1010,7,2024-12,25,39,1,0
CUST-1010,8,2025-01,16,46,0,0
CUST-1010,9,2025-03,20,61,0,0
CUST-1010,10,2025-04,30,56,0,0
CUST-1010,11,2025-05,25,39,0,0
CUST-1010,12,2025-06,14,37,0,0
CUST-1010,13,2025-07,26,35,0,0
CUST-1010,14,2025-08,17,91,0,0
CUST-1010,15,2025-09,25,88,0,0
CUST-1010,16,2025-10,16,46,0,0
CUST-1010,17,2025-11,29,34,0,0
CUST-1010,18,2025-12,14,64,0,0
CUST-1010,19,2026-01,20,44,0,0
CUST-1010,20,2026-02,21,70,0,0
CUST-1010,21,2026-03,25,50,0,0
CUST-1010,22,2026-04,16,86,0,0
CUST-1010,23,2026-05,18,86,0,0
CUST-1011,0,2024-06,18,88,0,0
CUST-1011,1,2024-07,26,68,0,0
CUST-1011,2,2024-08,15,72,0,0
CUST-1011,3,2024-08,24,70,0,0
CUST-1011,4,2024-10,26,43,2,0
CUST-1011,5,2024-10,18,58,1,0
CUST-1011,6,2024-12,18,76,0,0
CUST-1011,7,2024-12,14,57,0,0
CUST-1011,8,2025-01,16,94,0,0
CUST-1011,9,2025-03,26,66,2,0
